"mineral name","point group","space group"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocopiapite",1,"P1"
"Aluminocoquimbite","32/m2/m","P31c"
"Aluminocoquimbite","32/m2/m","P31c"
"Aluminomagnesiohulsite","2/m","P2/m"
"Alumino-oxy-rossmanite","3mm","R3m"
"Aluminopyracmonite",3,"R3"
"Aluminopyracmonite",3,"R3"
"Aluminosugilite","6/m2/m2/m","P6/mcc"
"Alum-(K)","332/m","Pa3"
"Alum-(K)","332/m","Pa3"
"Alum-(K)"," "," "
"Alum-(K)"," "," "
"Alum-(K)"," "," "
"Alum-(K)","332/m","Pa3"
"Alum-(K)","332/m","Pa3"
"Alum-(K)","332/m","Pa3"
"Alum-(K)","332/m","Pa3"
"Alum-(Na)","332/m","Pa3"
"Alum-(Na)"," "," "
"Alum-(Na)","332/m","Pa3"
"Alum-(Na)","332/m","Pa3"
"Alumoakermanite","42m","P421m"
"Alumoakermanite","42m","P421m"
"Alumoakermanite","42m","P421m"
"Alumoedtollite",1,"P1"
"Alumohydrocalcite",1,"P1"
"Alumoklyuchevskite",2,"I2"
"Alumoklyuchevskite"," "," "
"Alumoklyuchevskite",2,"I2"
"Alumotantite"," "," "
"Alumotantite"," "," "
"Alumotantite"," "," "
"Alumotantite","2/m2/m2/m","Pbcn"
"Alumovesuvianite","4/m","P4/n"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite"," "," "
"Alunite"," "," "
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunite","32/m2/m","R3m"
"Alunogen",1,"P1"
"Alunogen"," "," "
"Alunogen"," "," "
"Alunogen",1,"P1"
"Alunogen",1,"P1"
"Alvanite","2/m","P21/n"
"Alwilkinsite-(Y)",222,"P212121"
"Amakinite"," "," "
"Amakinite","32/m2/m","R3m"
"Amakinite","32/m2/m","P3m1"
"Amamoorite","2/m","P21/a"
"Amarantite"," "," "
"Amarantite"," "," "
"Amarantite",1,"P1"
"Amarantite",1,"P1"
"Amarantite",1,"P1"
"Amarantite",1,"P1"
"Amarantite",1,"P1"
"Amarantite",1,"P1"
"Amarillite","2/m","C2/c"
"Amblygonite"," "," "
"Amblygonite"," "," "
"Amblygonite",1,"C1"
"Amblygonite",1,"C1"
"Amblygonite",1,"C1"
"Amblygonite",1,"C1"
"Amblygonite",1,"C1"
"Amblygonite",1,"C1"
"Amblygonite",1,"P1"
"Ambrinoite",1,"P1"
"Ambrinoite",1,"P1"
"Ambrinoite",1,"P1"
"Ameghinite"," "," "
"Ameghinite"," "," "
"Ameghinite","2/m","C2/c"
"Amesite"," "," "
"Amesite"," "," "
"Amesite",1,"C1"
"Amesite",1,"C1"
"Amesite",1,"C1"
"Amesite",3,"R3"
"Amgaite",322,"P321"
"Amicite",2,"I2"
"Amicite"," "," "
"Amicite",2,"I2"
"Aminoffite","4/m2/m2/m","I4/mmm"
"Aminoffite"," "," "
"Aminoffite","4/m","P42/n"
"Ammineite","2/m2/m2/m","Cmcm"
"Ammineite"," "," "
"Ammineite"," "," "
"Ammineite","2/m2/m2/m","Cmcm"
