,mineral name,point group,space group
12219,Liroconite,2/m,I2/a
12220,Lisanite,1,P1
12221,Lisetite,2mm,Pbc21
12222,Lishizhenite,1,P1
12223,Lisiguangite,222,P212121
12225,Lisitsynite,222,P212121
12227,Liskeardite,2,I2
12229,Lislkirchnerite,2/m,P21/n
12230,Litharge,2/m2/m2/m,Cmma
12234,Litharge,4/m2/m2/m,P4/nmm
12243,Lithiomarsturite,1,P1
12244,Lithiophilite,2/m2/m2/m,Pbnm
12254,Lithiophilite,2/m2/m2/m,Pmnb
12255,Lithiophorite,32/m2/m,R3m
12257,Lithiophosphate,2/m2/m2/m,Pcmn
12258,Lithiophosphate,2mm,Pmn21
12259,Lithiophosphate,2/m2/m2/m,Pmnb
12264,Lithiotantite,2/m,P21/c
12265,Lithiowodginite,2/m,C2/c
12268,Lithosite,2,P21
12270,Litidionite,1,P1
12272,Litochlebite,2/m,P21/m
12273,Litvinskite,m,Cm
12275,Liudongshengite,32/m2/m,R3m
12276,Liuite,2/m2/m2/m,Pnma
12277,Liveingite,2/m,P21/c
12278,Liversidgeite,1,P1
12281,Livingstonite,2/m,A2/a
12285,Lizardite,6mm,P63cm
12286,Lizardite,3mm,P31m
12298,Lizardite,1,P1
12299,Llantenesite,3mm,P31c
12301,Lobanovite,2,A2
12308,Lollingite,2/m2/m2/m,Pnnm
12317,Lombardoite,2/m,P21/m
12319,Lomonosovite,1,P1
12321,Londonite,43m,P43m
12325,Lonecreekite,332/m,Pa3
12326,Lonsdaleite,6/m2/m2/m,P63/mmc
12328,Lonsdaleite,6mm,P63mc
12329,Loomisite,m,Pn
12330,Loparite-(Ce),4/m32/m,Pm3m
12331,Loparite-(Ce),2/m2/m2/m,Pbnm
